,name,faction,loyalty,text,traits,card type,image name,cost,command,attack,health,shields,cycle,war pack,keywords,useful_quantities
163,Dozer Blade,Astra Militarum,Common,"Attached to a vehicle army unit.
Attached unit gets +2 HP.",Hardpoint.,Attachment,Dozer_Blade,0,-1,-1,-1,1,Warlord Cycle,The Scourge,,3
164,Inquisitorial Fortress,Astra Militarum,Loyal,Action: Exhaust and sacrifice this support to rout a target army unit.,Location.,Support,Inquisitorial_Fortress,2,-1,-1,-1,0,Warlord Cycle,The Scourge,,3
165,Mystic Warden,Astra Militarum,Common,"Forced Reaction: After a battle at this planet ends, sacrifice this unit.",Psyker.,Army,Mystic_Warden,0,0,2,2,0,Warlord Cycle,Gift of the Ethereals,,3
166,To Arms!,Astra Militarum,Loyal,Action: Ready a target support card.,Tactic.,Event,To_Arms!,0,-1,-1,-1,2,Warlord Cycle,Gift of the Ethereals,,3
167,Honorifica Imperialis,Astra Militarum,Loyal,"Attach to an army unit.
While at a planet with an enemy warlord attached unit gains Armorbane and Ranged.",Wargear. Award.,Attachment,Honorifica_Imperialis,2,-1,-1,-1,2,Warlord Cycle,Gift of the Ethereals,,3
168,Steel Legion Chimera,Astra Militarum,Common,"No Wargear Attachments.
Reaction: After a non-Vehicle unit you control at this planet is assigned damage by an attack, prevent 1 of that damage.",Vehicle. Transport.,Army,Steel_Legion_Chimera,3,1,2,4,0,Warlord Cycle,Zogwort's Curse,No Wargear Attachments.,3
169,Tallarn Raiders,Astra Militarum,Common,This unit gets +2 ATK while it is at a planet with a warlord.,Soldier. Tallarn.,Army,Tallarn_Raiders,1,1,0,2,0,Warlord Cycle,Zogwort's Curse,,3
170,Staging Ground,Astra Militarum,Common,Action: Exhaust this support to deploy a unit with printed cost 2 or lower at a planet,Location.,Support,Staging_Ground,1,-1,-1,-1,0,Warlord Cycle,Zogwort's Curse,,3
171,Torquemada Coteaz,Astra Militarum,Signature,Combat Action: Sacrifice a unit at this planet to give this warlord +3 ATK for its next attack this phase. (Limit once per attack).,Soldier. Inquisitor.,Warlord,Torquemada_Coteaz,-1,-1,0,8,0,Warlord Cycle,The Threat Beyond,Unique.,1
172,Coteaz's Henchmen,Astra Militarum,Signature,"Interrupt: When this unit leaves play, ready your warlord",Soldier.,Army,Coteaz's_Henchmen,2,1,1,3,0,Warlord Cycle,The Threat Beyond,,4
173,Formosan Black Ship,Astra Militarum,Signature,"Interrupt: When you sacrifice a non-token unit, exhaust this support to put 2 Guardsman tokens into play at the same planet as the sacrificed unit.",Upgrade.,Support,Formosan_Black_Ship,1,-1,-1,-1,0,Warlord Cycle,The Threat Beyond,,1
174,The Glovodan Eagle,Astra Militarum,Signature,"Attach to your warlord.
Attached warlord gets +1 ATK.
Combat Action: Detach this card to have it become an army unit with 1 ATK and 1 HP and the text: “Action: Return this unit to your hand.”",Familiar.,Attachment,The_Glovodan_Eagle,1,-1,-1,-1,3,Warlord Cycle,The Threat Beyond,Unique.,1
175,The Emperor Protects,Astra Militarum,Signature,"Interrupt: When a unit you control leaves play from a planet with your warlord, return that unit to your hand instead.",Tactic.,Event,The_Emperor_Protects,0,-1,-1,-1,1,Warlord Cycle,The Threat Beyond,,2
176,Shrieking Basilisk,Astra Militarum,Common,"No Wargear Attachments.
Ranged.
Reaction: After this unit damages an enemy unit, exhaust a target support card.",Vehicle. Artillery. Elite.,Army,Shrieking_Basilisk,6,3,3,5,0,Warlord Cycle,Descendants of Isha,No Wargear Attachments.Ranged.,3
177,The Emperor's Warrant,Astra Militarum,Loyal,"Combat Action: Exhaust a target enemy unit at a planet without an enemy warlord. Then, deal damage equal to that unit's ATK value to another target unit at that planet.",Tactic.,Event,The_Emperor's_Warrant,2,-1,-1,-1,2,Warlord Cycle,Descendants of Isha,,3
178,Broderick Worr,Astra Militarum,Signature,"Army units that retreat from this planet are destroyed instead.
Each other Astra Militarum unit you control at a Strongpoint planet (green) gets +1 ATK and gains, “Cannot retreat or be routed.”",Soldier. Commissar.,Warlord,Broderick_Worr,-1,-1,2,6,0,Planetfall Cycle,Decree of Ruin,Unique.,1
179,Anxious Infantry Platoon,Astra Militarum,Signature,"Forced Reaction: After a combat round at this planet ends, you may pay 1 RESOURCE. If you do not, retreat this unit.",Soldier.,Army,Anxious_Infantry_Platoon,2,1,3,3,0,Planetfall Cycle,Decree of Ruin,,4
180,Forward Barracks,Astra Militarum,Signature,"Reaction: After a combat round ends, if you control an Astra Militarum unit at the planet where the battle is taking place, put 1 Guardsman token into play at that planet.",Location.,Support,Forward_Barracks,2,-1,-1,-1,0,Planetfall Cycle,Decree of Ruin,,1
181,Summary Execution,Astra Militarum,Signature,"Play only during a battle.
Combat Action: Sacrifice a unit at a planet with your warlord to have that planet gain a Strongpoint icon (green) until the end of the battle. Then, draw 1 card.",Tactic.,Event,Summary_Execution,0,-1,-1,-1,1,Planetfall Cycle,Decree of Ruin,,2
182,Commissarial Bolt Pistol,Astra Militarum,Signature,"Attach to a Commissar unit.
Attached unit gets +1 ATK.
Reaction: After an army unit you control at this planet leaves play, deal 1 damage to a target army unit at this planet.",Wargear. Weapon.,Attachment,Commissarial_Bolt_Pistol,1,-1,-1,-1,3,Planetfall Cycle,Decree of Ruin,,1
183,Sacaellum Shrine Guard,Astra Militarum,Common,While this unit is at a Strongpoint planet (green) it gets +1 ATK and +1 HP.,Soldier. Sacaellum. Ally.,Army,Sacaellum_Shrine_Guard,1,1,1,1,0,Planetfall Cycle,Boundless Hate,,3
184,Troop Transport,Astra Militarum,Loyal,"Limited.
Action: Sacrifice this support to either put a Guardsman token into play at a planet, or put 2 Guardsman tokens into play at a Strongpoint planet (green).",Upgrade.,Support,Troop_Transport,0,-1,-1,-1,0,Planetfall Cycle,Boundless Hate,Limited.,3
185,Death Korps Engineers,Astra Militarum,Common,Action: Sacrifice this unit to destroy a target exhausted support card.,Soldier. Krieg.,Army,Death_Korps_Engineers,2,0,2,3,0,Planetfall Cycle,Deadly Salvage,,3
186,Vanguard Soldiers,Astra Militarum,Loyal,"Interrupt: When this unit leaves play, ready another target army unit you control.",Soldier. Sacaellum.,Army,Vanguard_Soldiers,3,1,3,3,0,Planetfall Cycle,Deadly Salvage,,3
187,Inspirational Fervor,Astra Militarum,Common,"Reaction: After you win a battle at a Strongpoint planet (green), move up to 2 non-warlord units you control at that planet to a target planet.",Tactic.,Event,Inspirational_Fervor,1,-1,-1,-1,1,Planetfall Cycle,Deadly Salvage,,3
188,Taurox APC,Astra Militarum,Common,"No Wargear Attachments.
Reaction: After a combat round at a Strongpoint planet (green) ends, move this unit to that planet.",Vehicle. Transport.,Army,Taurox_APC,2,1,2,2,0,Planetfall Cycle,What Lurks Below,No Wargear Attachments.,3
189,M35 Galaxy Lasgun,Astra Militarum,Common,"Attach to a non-warlord unit.
Attached unit gets +1 ATK and +1 HP.
Interrupt: When attached unit leaves play, return this attachment to your hand.",Wargear. Weapon.,Attachment,M35_Galaxy_Lasgun,1,-1,-1,-1,1,Planetfall Cycle,What Lurks Below,,3
190,Sacaellum's Finest,Astra Militarum,Loyal,"Reaction: After you win a battle at a non-first Strongpoint planet (green), instead of triggering the planet's Battle ability, put this unit into play from your hand at a Strongpoint planet (green).",Soldier. Sacaellum.,Army,Sacaellum's_Finest,4,2,3,4,0,Planetfall Cycle,Wrath of the Crusaders,,3
191,Cathedral of Saint Camila,Astra Militarum,Loyal,Combat Action: Exhaust this support to target up to 1 non-Elite enemy army unit at each Strongpoint planet (green). Exhaust each targeted unit. (Limit once per phase.),Location. Ecclesiarchy.,Support,Cathedral_of_Saint_Camila,3,-1,-1,-1,0,Planetfall Cycle,Wrath of the Crusaders,Unique.,3
192,Leman Russ Conqueror,Astra Militarum,Common,"No Wargear Attachments.
Reaction: After this unit resolves an attack, it gets +3 ATK until the end of the phase.",Vehicle. Tank. Elite.,Army,Leman_Russ_Conqueror,6,3,3,7,0,Planetfall Cycle,The Final Gambit,No Wargear Attachments.,3
193,Bolster the Defense,Astra Militarum,Loyal,Combat Action: Put a support card into play from your hand with printed cost equal to or lower than the highest number of army unit you control at a planet.,Tactic.,Event,Bolster_the_Defense,0,-1,-1,-1,2,Planetfall Cycle,The Final Gambit,,3
194,Imperial Rally Point,Astra Militarum,Common,"Attach to a Strongpoint planet (green).
Reduce the cost of each Astra Militarum unit you deploy at this planet by 1 (to a minimum of 1).",Location.,Attachment,Imperial_Rally_Point,1,-1,-1,-1,1,Planetfall Cycle,The Final Gambit,,3
195,Vostroyan Officer,Astra Militarum,Common,Each Elite unit you control at this planet gains Immune to enemy events.,Soldier. Vostroya.,Army,Vostroyan_Officer,2,1,1,3,0,Death World Cycle,Jungles of Nectavus,,3
196,Scion Strike Force,Astra Militarum,Common,"Deep Strike (3), Ranged.",Soldier. Elite.,Army,Scion_Strike_Force,5,2,3,4,0,Death World Cycle,Jungles of Nectavus,Ranged.Deep Strike.,3
197,No Surprises,Astra Militarum,Common,Deploy Action: Destroy a target card in reserve.,Tactic.,Event,No_Surprises,1,-1,-1,-1,1,Death World Cycle,Jungles of Nectavus,,3
198,Firstborn Battalion,Astra Militarum,Loyal,While you control 3 or more support cards this unit gains Mobile and Ranged.,Soldier. Vostroya.,Army,Firstborn_Battalion,4,2,3,4,0,Death World Cycle,Unforgiven,,3
199,Clearcut Refuge,Astra Militarum,Common,Action: Exhaust this support to give a target unit +X HP until the end of the phase. X is the highest printed cost among units you control.,Location,Support,Clearcut_Refuge,1,-1,-1,-1,0,Death World Cycle,Unforgiven,Unique.,3
200,Grigory Maksim,Astra Militarum,Signature,"While a unit you control is being dealth damage, support cards may be used as shield cards with 1 shield icon. If the shielded card is a Tank, that support card has 2 shield icons instead.",Soldier. Vostroya.,Warlord,Grigory_Maksim,-1,-1,1,7,0,Death World Cycle,Slash and Burn,Unique.,1
201,Maksim's Squadron,Astra Militarum,Signature,"No Wargear Attachments.
Interrupt: When you use a shield card to prevent this unit from taking damage, that card gains 1 shield icon.",Vehicle. Tank. Vostroya.,Army,Maksim's_Squadron,3,1,2,3,0,Death World Cycle,Slash and Burn,No Wargear Attachments.,4
202,Clearing the Path,Astra Militarum,Signature,"Reaction: After you win a battle at a planet with your warlord, put an Astra Militarum support card from your discard pile into play at your HQ.",Stratagem.,Support,Clearing_the_Path,2,-1,-1,-1,0,Death World Cycle,Slash and Burn,,1
203,Keep Firing!,Astra Militarum,Signature,Combat Action: Ready a target Tank unit you control.,Tactic.,Event,Keep_Firing!,1,-1,-1,-1,1,Death World Cycle,Slash and Burn,,2
204,Searchlight,Astra Militarum,Signature,"Attached unit gains 1 command icon.
Exhaust your warlord to move attached unit to another planet.
Action: Exhaust your warlord to move attached unit to another planet.",Hardpoint.,Attachment,Searchlight,1,-1,-1,-1,3,Death World Cycle,Slash and Burn,,1
205,Enginseer Mechanic,Astra Militarum,Common,"Reaction: After a Vehicle unit you control at this planet is assigned damage, exhaust this unit to prevent up to 2 of that damage.",Scholar.,Army,Enginseer_Mechanic,3,1,1,6,0,Death World Cycle,Searching for Truth,,3
206,Griffon Escort,Astra Militarum,Loyal,"No Wargear Attachments.
Reaction: After this unit enters play, put 2 Guardsman tokens into play at this planet.",Vehicle. Tank.,Army,Griffon_Escort,4,1,2,4,0,Death World Cycle,Searching for Truth,No Wargear Attachments.,3
207,Hot-Shot Laspistol,Astra Militarum,Common,"Attach to an army unit you control.
Attached unit gets +2 ATK.
Damage cannot be removed from units at the same planet as attached unit.",Weapon. Wargear.,Attachment,Hot-Shot_Laspistol,1,-1,-1,-1,1,Death World Cycle,Searching for Truth,,3
208,Catachan Tracker,Astra Militarum,Common,Increase the Deep Strike value of each card you opponent controls at this planet by 2.,Soldier. Catachan.,Army,Catachan_Tracker,3,1,2,3,0,Death World Cycle,Against the Great Enemy,,3
209,Death Serves the Emperor,Astra Militarum,Common,"Interrupt: When a Vehicle unit you control is destroyed, gain resources equal to its printed cost. Max 1 per round.",Tactic.,Event,Death_Serves_the_Emperor,0,-1,-1,-1,1,Death World Cycle,Against the Great Enemy,,3
210,Mars Alpha Exterminator,Astra Militarum,Loyal,"No Wargear Attachments.
Reaction: After this unit is declared as an attacker, destroy either a target army unit with printed cost 2 or lower at this planet or a target token unit at this planet.",Vehicle. Tank. Elite.,Army,Mars_Alpha_Exterminator,6,2,4,6,0,Death World Cycle,The Warp Unleashed,No Wargear Attachments.,3
211,Jungle Trench,Astra Militarum,Loyal,Combat Action: Exhaust this support to prevent 1 damage from each attack made by a non-warlord unit this combat round.,Location.,Support,Jungle_Trench,2,-1,-1,-1,0,Death World Cycle,The Warp Unleashed,,3
212,23rd Mechanised Battalion,Astra Militarum,Loyal,"No Attachments. Cannot be targeted.
Reaction: After the second combat round ends at this planet, if there is at least one enemy unit, retreat this unit to put 4 Guardsman tokens into play at this planet. Then deal 5 damage to this unit.",Corps. Transport.,Army,23rd_Mechanised_Battalion,5,3,1,12,0,Navida Prime Cycle,Aligned Stars,No Attachments.,3
213,Armored Fist Squad,Astra Militarum,Common,"No Wargear attachments.
This unit gets +2 HP while it is at a planet with a warlord.
Interrupt: When this unit retreats, exhaust a non-warlord unit at this planet.
",Vehicle. Tank. Transport.,Army,Armored_Fist_Squad,2,1,2,2,0,Navida Prime Cycle,Aligned Stars,No Wargear Attachments.,3
214,Catachan Devils Patrol,Astra Militarum,Common,"Interrupt: When a unit you control is chosen as a defender, deploy this unit from your hand at the same planet. Then your opponent must choose to either deal 2 damage to the attacker or cancel the remainder of the attack.",Soldier. Catachan.,Army,Catachan_Devils_Patrol,2,1,2,2,0,Navida Prime Cycle,Promise of War,,3
215,Celestian Amelia,Astra Militarum,Loyal,"Reaction: After an enemy unit is declared as an attacker at this planet, while that unit is attacking, reduce all damage taken by other Astra Militarum units you control to 1. (Limit once per phase.)",Soldier. Martyr. Ecclesiarchy.,Army,Celestian_Amelia,3,1,3,3,0,Navida Prime Cycle,Enemy Territory,Unique.,3
216,Commissar Somiel,Astra Militarum,Loyal,"Reaction: After an Astra Militarum Transport unit you control leaves play, put a Guardsman token into play at your HQ.",Soldier. Officer. Commissar.,Army,Commissar_Somiel,2,2,1,2,0,Navida Prime Cycle,Breaching the Veil,Unique.,3
217,Devoted Hospitaller,Astra Militarum,Loyal,"While you control a Commissar unit, you cannot deploy this unit.
Reaction: After this unit enters play, place 2 faith among army units you control. Then you may exhaust an enemy army unit at this planet and deal damage equal to its ATK value to this unit.",Novice. Ecclesiarchy.,Army,Devoted_Hospitaller,2,1,1,2,0,Defenders of the Faith,Defenders of the Faith,,3
218,Dominion Eugenia,Astra Militarum,Loyal,"While this unit has faith, it gains Armorbane.
Reaction: After another Astra Militarum Ecclesiarchy unit you control at this planet is declared as an attacker, place 1 faith on this unit and the attacker.",Soldier. Officer. Ecclesiarchy.,Army,Dominion_Eugenia,4,3,3,4,0,Defenders of the Faith,Defenders of the Faith,Unique.,3
219,Eloquent Confessor,Astra Militarum,Common,"While this unit has faith, it gets +1 ATK.
Combat Reaction: After a non-warlord unit moves or enters play at this planet, pay 1 faith to exhaust it.",Priest. Ecclesiarchy.,Army,Eloquent_Confessor,2,1,2,2,0,Defenders of the Faith,Defenders of the Faith,,3
220,Evangelizing Ships,Astra Militarum,Loyal,Combat Action: Pay 1 faith to put a Guardsman token into play at a non-green planet. Then your opponent moves this unit to a planet of his choice. (Limit once per phase.),Transport. Ecclesiarchy.,Army,Evangelizing_Ships,2,1,1,3,0,Defenders of the Faith,Defenders of the Faith,,3
221,Exalted Celestians,Astra Militarum,Common,"While this unit has faith and is not a defender, it cannot be dealt damage.
Reaction: After this unit exhausts, place 1 faith on it.",Soldier. Ecclesiarchy.,Army,Exalted_Celestians,2,1,2,2,0,Defenders of the Faith,Defenders of the Faith,,3
222,Fanatical Sister Repentia,Astra Militarum,Common,"Interrupt: When this unit uses Shield with Faith, double the number of faith on it.",Soldier. Martyr. Ecclesiarchy.,Army,Fanatical_Sister_Repentia,3,1,4,2,0,Defenders of the Faith,Defenders of the Faith,,3
223,Heavy Flamer Retributor,Astra Militarum,Common,"While this unit has faith, it cannot be routed.
Reaction: After this unit resolves its attack, deal 1 damage to a number of different enemy units at this planet equal to faith on this unit.",Soldier. Ecclesiarchy.,Army,Heavy_Flamer_Retributor,3,2,3,2,0,Defenders of the Faith,Defenders of the Faith,,3
224,Holy Battery,Astra Militarum,Loyal,"No Wargear Attachments.
While at a planet with a unit with faith you control, this unit gets +1 ATK.
Reaction: After you use a shield card on this unit, place 1 faith on it.",Tank. Vostroya. Vehicle.,Army,Holy_Battery,2,1,2,2,0,Confrontation Cycle,A Mask Falls Off,No Wargear Attachments.,3
225,Hydra Flak Tank,Astra Militarum,Common,"No Wargear Attachments.
This unit deals double damage to enemy Flying or Mobile units.
Reaction: After a unit moves to or from this planet, deal it 1 damage. (Limit once per phase.)",Vehicle. Tank. Krieg.,Army,Hydra_Flak_Tank,3,1,2,3,0,Navida Prime Cycle,Enemy Territory,No Wargear Attachments.,3
226,Krieg Armoured Regiment,Astra Militarum,Loyal,"No Wargear Attachments.
Reaction: After this unit leaves play, place it at the bottom of your deck to Rally 6 a Tank, Vehicle or Krieg unit with a different name, put it into play at the same planet.",Vehicle. Tank. Elite.,Army,Krieg_Armoured_Regiment,6,2,5,6,0,Confrontation Cycle,The Laughing God,No Wargear Attachments.,3
227,Patron Saint,Astra Militarum,Loyal,"Deep Strike (3).
Reaction: After you deploy or Deep Strike this unit, remove up to 3 damage from Astra Militarum army units and Ecclesiarchy units you control. Then place faith equal to the damage removed among army units you control.
",Saint. Elite. Ecclesiarchy.,Army,Patron_Saint,5,2,4,5,0,Defenders of the Faith,Defenders of the Faith,Deep Strike.,3
228,Pattern IX Immolator,Astra Militarum,Common,"No Wargear Attachments.
Command Action: Deal X damage among enemy non-warlord units at this planet and place X faith among army units at this planet. X is the number of command struggles your opponent won this phase minus 1. (Limit once per phase.)",Vehicle. Tank. Ecclesiarchy.,Army,Pattern_IX_Immolator,3,1,3,3,0,Defenders of the Faith,Defenders of the Faith,,3
229,Penitent Engine,Astra Militarum,Loyal,"No Wargear Attachments.
Reaction: After an attack resolved by a unit you control at this planet does not destroy the defender, place 1 faith on this unit and it gets +1 ATK for its next attack this phase.",Vehicle. Martyr. Ecclesiarchy.,Army,Penitent_Engine,3,1,2,3,0,Defenders of the Faith,Defenders of the Faith,No Wargear Attachments.,3
230,Sacred Rose Immolator,Astra Militarum,Common,"No Wargear Attachments.
Reaction: After this unit resolves its attack or moves to a planet, place 1 faith on it. Then deal 1 damage to up to 2 different enemy units at this planet. (Limit twice per round.)",Vehicle. Transport. Ecclesiarchy.,Army,Sacred_Rose_Immolator,3,1,1,3,0,Defenders of the Faith,Defenders of the Faith,No Wargear Attachments.,3
231,Saint Erika,Astra Militarum,Loyal,"If you don't control faith, destroy this unit.
Forced Reaction: After a non-Elysia, non-Saint Astra Militarum army unit enters your discard pile from this planet, pay 1 faith to return that unit to your hand.",Saint. Martyr. Ecclesiarchy.,Army,Saint_Erika,3,1,5,5,0,Defenders of the Faith,Defenders of the Faith,Unique.,3
232,Siege Regiment Manticore,Astra Militarum,Common,"No Wargear Attachments.
Reaction: After the ranged skirmish at an adjacent planet ends, exhaust this unit to deal 3 damage to an enemy non-warlord unit at that planet.",Vehicle. Artillery. Krieg.,Army,Siege_Regiment_Manticore,4,1,3,4,0,Navida Prime Cycle,Promise of War,No Wargear Attachments.,3
233,Tenacious Novice Squad,Astra Militarum,Common,"While this unit has faith, it gets +1 ATK and +1 HP.
Reaction: After a warlord commits to this planet, place 1 faith on an army unit at this planet.",Soldier. Ecclesiarchy.,Army,Tenacious_Novice_Squad,1,1,1,1,0,Defenders of the Faith,Defenders of the Faith,,3
234,Undying Saint,Astra Militarum,Loyal,"Lumbering.
Cannot be damaged by Area Effect.
Reaction: After the deploy phase begins, if this unit is in your discard pile, put it into play at a target non-first planet (ignore this restriction if your opponent has the initiative).",Martyr. Ecclesiarchy.,Army,Undying_Saint,1,1,2,1,0,Chronicles of Heroes,Chronicles of Heroes,Lumbering.,3
235,Vengeful Seraphim,Astra Militarum,Common,"While this unit has faith, it gains Flying.
Reaction: After an Ecclesiarchy unit you control at this planet is destroyed, this unit gets +1 ATK and +1 HP until the end of the phase. Then you may pay 1 faith to ready this unit. (Limit once per phase.)",Soldier. Ecclesiarchy.,Army,Vengeful_Seraphim,3,1,3,2,0,Defenders of the Faith,Defenders of the Faith,,3
236,Zealous Cantus,Astra Militarum,Common,"Reaction: After an Ecclesiarchy or Grey Knights card enters your discard pile, place 1 faith on an army unit. (Limit twice per faith.)",Soldier. Ecclesiarchy.,Army,Zealous_Cantus,3,1,3,3,0,Defenders of the Faith,Defenders of the Faith,,3
237,Banner of the Sacred Rose,Astra Militarum,Loyal,"Limited.
Attach to a unit you control.
Interrupt: When you deploy an Ecclesiarchy unit, exhaust this attachment to reduce the cost by 1 plus the number of green planets in your opponent's victory display.",Standard. Ecclesiarchy.,Attachment,Banner_of_the_Sacred_Rose,1,-1,-1,-1,2,Defenders of the Faith,Defenders of the Faith,Limited.Unique.,3
238,Blade of the Crimson Oath,Astra Militarum,Loyal,"Attach to a non-warlord unit.
Attached unit gets +2 ATK and +2 HP.
Interrupt: When your opponent triggers an ability that discards a card from your hand, put 2 Guardsman tokens into play at a planet to put this card from your hand into play attached to a unit.",Relic. Wargear. Weapon.,Attachment,Blade_of_the_Crimson_Oath,1,-1,-1,-1,2,Defenders of the Faith,Defenders of the Faith,Unique.,3
239,Departmento Munitorum Aid,Astra Militarum,Loyal,"Attach to a Vehicle army unit.
Attached unit gets +1 HP.
Action: Exhaust this attachment and remove 1 damage from attached unit to retreat it.",Maintenance.,Attachment,Departmento_Munitorum_Aid,0,-1,-1,-1,2,Confrontation Cycle,The Laughing God,,3
240,Revered Heavy Flamer,Astra Militarum,Common,"Deep Strike (0).
Attach to an army unit.
Attached unit gets +2 ATK.
Reaction: After your opponent uses a shield card on a unit at this planet, place 1 faith on an army unit at this planet.",Wargear. Weapon. Ecclesiarchy.,Attachment,Revered_Heavy_Flamer,1,-1,-1,-1,1,Defenders of the Faith,Defenders of the Faith,Deep Strike.,3
241,Sanctified Bolter,Astra Militarum,Loyal,"Attach to an army unit you control.
Attached unit gets +1 ATK and +1 HP.
Reaction: After a ranged skirmish at this planet begins, or an enemy non-warlord unit moves from another planet to this planet, place 2 faith among army units at this planet.",Wargear. Weapon.,Attachment,Sanctified_Bolter,1,-1,-1,-1,1,Defenders of the Faith,Defenders of the Faith,,3
242,Seal of the Ebon Chalice,Astra Militarum,Loyal,"Attach to an army unit. Attached unit gets +1 HP.
Interrupt: When attached unit takes damage from a unit with a higher printed cost, deal to that unit damage equal to the difference between the units' printed costs.",Award. Ecclesiarchy.,Attachment,Seal_of_the_Ebon_Chalice,1,-1,-1,-1,2,Navida Prime Cycle,Overrun,,3
243,Until Justice is Done,Astra Militarum,Common,"Attach to an enemy army unit.
Increase damage dealt to attached unit by 1.
Reaction: After an Ecclesiarchy unit you control is assigned damage by an attack, put this card from your hand into play attached to the attacker.
",Vow. Ecclesiarchy.,Attachment,Until_Justice_is_Done,2,-1,-1,-1,1,Defenders of the Faith,Defenders of the Faith,,3
244,Our Last Stand,Astra Militarum,Loyal,"Action: Place 1 faith on each Astra Militarum unit you control at the first planet. If that planet shares a common type with two planets in your opponent's victory display your warlord gains: Interrupt:"" When this unit is assigned damage, reduce that damage by 1 (min 1)."" until the end of the battle. Max 1 per round.",Prayer. Ecclesiarchy.,Event,Our_Last_Stand,0,-1,-1,-1,2,Defenders of the Faith,Defenders of the Faith,,3
245,Wrathful Retribution,Astra Militarum,Loyal,"Reaction: After an enemy unit moves to, or enters play at, a planet where a battle is taking place, place faith equal to its printed cost among army units you control. Then ready a non-Elite unit with faith.",Prayer. Ecclesiarchy.,Event,Wrathful_Retribution,1,-1,-1,-1,2,Defenders of the Faith,Defenders of the Faith,,3
246,Holy Crusade,Astra Militarum,Loyal,"Each other non-signature card in your deck must be Ecclesiarchy.
Action: Exhaust this support to place 2 faith among units you control.",Pledge.,Support,Holy_Crusade,1,-1,-1,-1,0,Bloodied Path Cycle,For the Enclaves,Preparation.,1
247,Munitorum Support,Astra Militarum,Common,"Once per round you may deploy a card on this support as if it were in your hand.
Reaction: After you deploy this support, place a M35 Galaxy Lasgun, a Hot-Shot Laspistol, a Bodyguard, a Seal of the Ebon Chalice, and a Defense Battery on this card.",Pledge.,Support,Munitorum_Support,1,-1,-1,-1,0,Bloodied Path Cycle,For the Enclaves,Preparation.,1
248,Senatorum Directives,Astra Militarum,Loyal,"Reaction: After a Catachan unit you control is assigned damage, put a Guardsman token into play at the same planet. You may then reassign one of that damage to it. (Limit once per battle.)",Pledge.,Support,Senatorum_Directives,1,-1,-1,-1,0,Bloodied Path Cycle,For the Enclaves,Preparation.,1
249,Agra's Preachings,Astra Militarum,Common,"Limited.
Reaction: After your opponent wins a battle, exhaust this support and target a planet with an enemy unit to rally 6 a non-Elite Astra Militarum unit, attach it to that planet. When the combat phase ends, deploy that unit at that planet and reduce its cost by 2. If you can't, discard it.",Decree. Ecclesiarchy.,Support,Agra's_Preachings,1,-1,-1,-1,0,Defenders of the Faith,Defenders of the Faith,Limited.Unique.,3
250,Blood of Martyrs,Astra Militarum,Loyal,"Interrupt: When an Astra Militarum unit you control is destroyed, exhaust this support and target up to 3 army units at the same planet. Move any faith on that unit to the targeted units and they get +1 ATK for their next attack this phase. Then if the destroyed card is a Martyr, draw 1 card.",Decree. Ecclesiarchy.,Support,Blood_of_Martyrs,1,-1,-1,-1,0,Defenders of the Faith,Defenders of the Faith,,3
251,Cardinal Agra Decree,Astra Militarum,Loyal,"While you control faith, each Vostroya unit you control gets +1 ATK.
Interrupt: When this card enters your discard pile, draw a card and place 1 faith on an army unit.",Decree. Ecclesiarchy.,Support,Cardinal_Agra_Decree,0,-1,-1,-1,0,Defenders of the Faith,Defenders of the Faith,Unique.,3
252,Convent Prioris Advisor,Astra Militarum,Loyal,"Reaction: After a Vostroya unit moves to a planet, place 1 faith on it. Then you may sacrifice this support to place 1 faith on that unit and Rally 6 a support, add it to your hand.",Advisor. Ecclesiarchy.,Support,Convent_Prioris_Advisor,0,-1,-1,-1,0,Confrontation Cycle,By Imperial Decree,Unique.,3
253,Embarked Squads,Astra Militarum,Loyal,"Command Action: Exhaust this support to have a target, non-Upgrade, Vehicle unit you control gain the Upgrade and Transport traits and ""Interrupt: When this unit retreats, put 2 Guardsman tokens into play at the same planet. (Limit once per phase.)"" until the end of the round.",Location.,Support,Embarked_Squads,0,-1,-1,-1,0,Navida Prime Cycle,Overrun,,3
254,Holy Chapel,Astra Militarum,Common,Action: Exhaust and Sacrifice this support to put 4 faith among Astra Militarum or Space Marines army units.,Location. Ecclesiarchy.,Support,Holy_Chapel,1,-1,-1,-1,0,Defenders of the Faith,Defenders of the Faith,,3
255,Canoness Vardina,Astra Militarum,Signature,"Action: Place 2 faith among army units you control. If your warlord is at a planet with an enemy warlord, place 3 instead. (Limit once per round)",Officer. Ecclesiarchy.,Warlord,Canoness_Vardina,-1,-1,2,6,0,Defenders of the Faith,Defenders of the Faith,Unique.,1
256,Faith Denies Death,Astra Militarum,Signature,"Reaction: After an army unit with faith is assigned damage, pay 1 faith to prevent up to 5 of that damage.",Prayer. Ecclesiarchy.,Event,Faith_Denies_Death,0,-1,-1,-1,1,Defenders of the Faith,Defenders of the Faith,,2
257,Sororitas Command Squad,Astra Militarum,Signature,"Reaction: After you prevent damage assigned to this unit by a non-warlord unit, deal damage equal to the prevented damage to that enemy unit. (Limit once per phase.)",Soldier. Ecclesiarchy.,Army,Sororitas_Command_Squad,3,1,3,3,0,Defenders of the Faith,Defenders of the Faith,,4
